plot,pot,leaf_area,leaf_count,newleaf_area,newleaf_count,Leafmass+bag,Leaf_bag,stemmass+bag,stem_bag,Croot,Froot
1,1,275.5,20,2.1,2,7.8,5.4,42.12,33.28,5.72,8.82
1,2,432.2,33,0,0,9.73,5.28,42.53,33.33,8.27,8.47
1,3,,,,,,,,,,
1,4,478.2,54,0.9,1,10.13,5.36,42.11,33.57,4.89,8.27
1,5,4654.2,241,138.11,20,85.3,38.98,74.4,33.68,39.39,66.31
1,6,516.6,77,0,0,38.61,33.13,42.36,33.55,5.78,7.61
1,7,2160.6,138,66.8,10,85.64,64.92,61.98,33.74,27.13,12.51
1,8,302.3,46,7.6,2,35.29,32.91,41.53,33.16,5.51,2.12
2,1,520.1,19,5.4,2,13.51,8.84,76.95,64.44,10.09,3.22
2,2,569.6,31,4.6,1,11.57,5.37,33.32,22.78,10.48,2.95
2,3,5360.7,171,266.7,36,85.79,33.36,84.86,33.97,44.76,49.24
2,4,788,34,6.3,3,13.51,5.5,37.3,22.92,12.96,9.81
2,5,,,,,,,,,,
2,6,226.2,11,2.3,3,8.13,5.44,29.81,22.82,5.57,2.06
2,7,563.6,25,18.7,45,11.06,5.35,30.26,22.9,4.75,5.87
2,8,376.8,38,0,0,9.32,5.35,32.68,22.68,8.22,4.18
3,1,217.4,28,0,0,7.81,5.41,28.3,22.55,3.68,1.98
3,2,5203.9,252,238.2,24,76.97,33.35,78.23,33.34,40.45,35.59
3,3,383.9,23,0,0,10.27,5.23,31.43,22.57,6.43,5.29
3,4,375.4,30,30.2,8,8.1,5.9,39.12,33.18,4.94,7.17
3,5,768.6,30,0,0,17.69,8.82,47.78,33.43,12.62,7.95
3,6,350.2,27,0,0,12.93,8.89,33.64,24.56,7.97,3.3
3,7,341,26,18.3,6,8.41,5.45,29.03,24.34,2.89,3.03
3,8,,,,,,,,,,
4,1,994.1,56,5.2,4,20.27,8.9,52.39,33.45,17.51,6.26
4,2,227.7,22,0,0,7.84,5.31,40.55,33.34,5.43,4.37
4,3,,,,,,,,,,
4,4,281.3,15,0,0,8.24,5.42,42.79,33,5.33,4.07
4,5,155.5,15,0,0,6.73,5.4,38.56,33.18,3.13,1.67
4,6,812.2,30,19.7,3,9.58,5.43,42.22,33.25,6.96,3.41
4,7,573.2,116,0,0,10.18,5.39,42.03,33.25,3.87,3.53
4,8,4917.3,211,26,108.8,85.67,33.33,85.25,33.6,35.07,54.2
5,1,,,,,,,,,,
5,2,308.7,24,0,0,12.02,8.86,40.45,33.28,5.08,5.7
5,3,170.7,26,11.3,7,11.04,8.91,37.35,32.97,3.29,2.01
5,4,367.1,31,20.8,4,12.38,8.8,40.62,33,4.85,2.81
5,5,267.2,32,0.74,1,12.32,8.84,39.67,33.25,6.62,4.58
5,6,6473.6,267,210.7,37,100.72,33.01,133.22,65.54,48.5,56.91
5,7,1191.5,62,19.9,7,21.25,8.94,59.64,33.55,27.42,7.9
5,8,71.2,7,2.4,2,9.74,8.85,36.05,33.38,2.08,0.99
6,1,1388.4,69,0,0,22.26,8.87,48.7,24.2,20.37,6.21
6,2,,,,,,,,,,
6,3,355.3,39,2.97,4,12.02,8.94,34.27,24.47,5.89,1.41
6,4,412,33,1.17,1,12.95,8.84,30.14,24.22,4.59,3.47
6,5,263.5,35,3.85,2,11.48,8.85,38.57,33.31,5.07,4.11
6,6,450.6,37,0,2,13.38,8.74,43.66,33.44,8.91,3.35
6,7,378.5,53,13.7,6,12.78,8.82,40.69,33.68,5.36,3.43
6,8,2666.4,165,46.6,20,60.23,33.13,97.45,64.99,23.45,39.23
7,1,654.2,59,0.91,1,16.27,8.9,33.89,24.19,9.46,3.62
7,2,2782.8,138,49.8,23,62.48,33.11,62.39,33.6,16.44,27.96
7,3,464.9,86,6.1,5,12.87,8.87,29.63,24.29,2.14,3.15
7,4,136.2,21,2.1,1,10.19,8.81,29.75,24.27,3.06,1.97
7,5,455,47,6.6,5,13.84,8.8,31.73,24.18,5.39,4.6
7,6,116.9,17,0,0,9.91,8.71,29.01,22.31,3.24,1.14
7,7,,,,,,,,,,
7,8,908.3,65,21.4,6,19.51,8.9,38.98,24.34,14.56,4.16
